open,high,low,close,tick_volume,atr14,rsi14,ma50,ma200,signal,position,net_pnl,cum_pnl
4605.01,4620.32,4605.0,4615.88,12894,11.287142857142888,72.16299453908695,4546.4028,4481.27545,-1,0,0.0,0.0
4615.88,4617.28,4584.92,4586.56,22123,12.678571428571429,52.28545618128297,4548.7796,4481.9025,-1,0,-0.0,0.0
4586.56,4611.41,4585.28,4602.25,24006,13.764285714285702,56.00899474653028,4551.504199999999,4482.58445,-1,0,0.0,0.0
4601.91,4622.26,4601.91,4619.64,17915,14.507857142857185,63.53877335868544,4554.4456,4483.3597,-1,0,0.0,0.0
4619.64,4627.47,4618.01,4621.31,16145,14.006428571428582,60.06413418154191,4557.216,4484.1684,-1,0,0.0,0.0
4621.31,4630.13,4617.52,4620.03,13256,14.484285714285695,59.540304826525585,4559.7286,4484.91345,-1,0,-0.0,0.0
4620.03,4623.43,4607.89,4616.96,14726,14.929999999999966,61.7968022936711,4562.1872,4485.6564499999995,-1,0,-0.0,0.0
4616.96,4618.51,4612.08,4616.38,9787,14.816428571428592,60.370819607995436,4564.4074,4486.454449999999,-1,0,-0.0,0.0
4616.38,4620.6,4610.7,4616.38,11243,14.900714285714328,59.7500879898231,4566.4884,4487.3044,-1,0,0.0,0.0
4616.38,4618.52,4600.55,4605.64,11870,15.40714285714291,58.818433811300956,4568.5268,4488.08185,-1,0,-0.0,0.0
4605.64,4611.23,4603.1,4610.84,9404,15.25499999999998,60.58043117041385,4570.612,4488.8773,-1,0,0.0,0.0
4610.83,4617.3,4608.75,4616.86,8461,15.265714285714305,63.73821229231598,4572.8716,4489.68375,-1,0,0.0,0.0
4616.86,4618.99,4609.3,4611.24,7553,15.357142857142858,58.51979345283769,4575.407,4490.42335,-1,0,-0.0,0.0
4611.24,4611.69,4599.72,4602.55,14350,14.60071428571421,48.94093335039456,4577.6304,4491.11365,-1,0,-0.0,0.0
4602.55,4604.77,4591.48,4593.67,12910,14.455714285714294,40.27157248739539,4579.582,4491.7636,-1,0,-0.0,0.0
4593.74,4596.86,4590.94,4593.62,5222,12.567142857142894,54.15881243216016,4581.477,4492.4361499999995,-1,0,-0.0,0.0
4593.62,4597.45,4589.12,4597.17,4675,11.29571428571431,46.5081110716097,4583.4348,4493.0821000000005,-1,0,0.0,0.0
4597.17,4607.74,4578.11,4584.54,9429,11.958571428571434,24.183583401903505,4585.018599999999,4493.670999999999,-1,0,-0.0,0.0
4584.54,4599.74,4584.09,4599.46,8702,12.400714285714262,36.55053551013503,4586.857,4494.23045,-1,0,0.0,0.0
4599.46,4599.67,4588.19,4588.31,6170,12.320000000000034,32.59055981936048,4588.4310000000005,4494.767,-1,0,-0.0,0.0
4588.31,4592.17,4584.47,4587.38,7226,11.760000000000023,33.374550354459814,4589.996,4495.31205,-1,0,-0.0,0.0
4587.38,4595.74,4581.55,4581.89,17778,12.314285714285688,31.62884840265461,4590.877799999999,4495.8042,-1,0,-0.0,0.0
4581.87,4587.2,4575.62,4577.9,16323,12.434285714285645,30.339260163245655,4591.6348,4496.2523,-1,0,-0.0,0.0
4577.9,4590.48,4576.67,4583.76,13249,12.137142857142733,38.23402881764599,4592.0166,4496.7356,-1,0,0.0,0.0
4583.76,4595.05,4581.99,4594.14,14697,12.489285714285675,41.493480026682015,4592.1212000000005,4497.25895,-1,0,0.0,0.0
4594.13,4599.6,4592.69,4595.7,11232,12.37214285714286,38.7086446046755,4592.3814,4497.80745,-1,0,0.0,0.0
4595.7,4598.06,4592.49,4594.05,8143,12.077857142857217,40.421263785067715,4592.8594,4498.3354500000005,-1,0,-0.0,0.0
4594.05,4599.75,4593.9,4597.36,7008,11.640714285714434,46.92353289084821,4593.484,4498.9174,-1,0,0.0,0.0
4597.36,4599.75,4594.75,4596.5,6752,11.048571428571515,51.85379273253037,4593.8654,4499.4933,-1,0,-0.0,0.0
4596.52,4601.59,4591.78,4601.43,5978,11.32642857142868,54.80852110864056,4594.272199999999,4500.07285,-1,0,0.0,0.0
4601.43,4602.16,4585.6,4592.01,10941,11.914285714285793,47.037207158262355,4594.6992,4500.5642,-1,0,-0.0,0.0
4592.01,4592.32,4582.23,4584.87,10343,10.518571428571509,50.20223065690851,4595.0248,4501.0183,-1,0,-0.0,0.0
4584.87,4586.0,4573.56,4581.67,10469,10.289285714285793,37.269214247577374,4595.2868,4501.45345,-1,0,-0.0,0.0
4581.67,4585.28,4578.88,4583.96,5721,9.92642857142859,46.435010643335396,4595.5152,4501.88105,-1,0,0.0,0.0
4583.96,4587.15,4577.49,4580.71,8669,10.066428571428592,44.733933355024796,4595.5126,4502.317800000001,-1,0,-0.0,0.0
4580.71,4592.51,4579.69,4589.9,9148,9.968571428571522,55.974936583862714,4595.8376,4502.81185,-1,0,0.0,0.0
4589.91,4597.01,4589.11,4592.8,9221,9.705714285714423,61.298149820167694,4596.1244,4503.3161,-1,0,0.0,0.0
4592.84,4595.73,4588.05,4589.21,7655,9.267857142857272,54.279880622586404,4596.2786,4503.8760999999995,-1,0,-0.0,0.0
4589.21,4592.1,4585.69,4586.15,7345,8.792857142857299,42.910381533260264,4596.245199999999,4504.47935,-1,0,-0.0,0.0
4586.18,4587.02,4580.42,4584.67,7137,8.770714285714414,40.19904033121062,4596.2672,4505.0333,-1,0,-0.0,0.0
4584.67,4588.3,4581.73,4586.33,6744,8.842142857142985,43.14143566801715,4596.057199999999,4505.5915,-1,0,0.0,0.0
4586.36,4589.07,4582.09,4586.82,7923,8.922857142857213,40.14216235387228,4595.8612,4506.1434500000005,-1,0,0.0,0.0
4586.82,4592.01,4585.07,4588.52,7344,9.061428571428678,42.65193369066119,4595.8502,4506.7123,-1,0,0.0,0.0
4588.52,4589.15,4577.87,4580.57,7921,9.16642857142863,31.803907877786884,4595.6128,4507.2842,-1,0,-0.0,0.0
4580.57,4595.23,4579.38,4593.22,9164,9.115714285714343,50.99917422437674,4595.592799999999,4507.9263,-1,0,0.0,0.0
4593.22,4606.46,4590.65,4600.43,17060,9.52428571428579,62.834048154409786,4595.895799999999,4508.58515,-1,0,0.0,0.0
4600.43,4620.93,4600.35,4611.49,21300,10.105714285714384,71.77278035915795,4596.4192,4509.37095,-1,0,0.0,0.0
4611.49,4623.63,4609.12,4618.26,17588,10.68500000000014,73.50603068764913,4597.129,4510.18615,-1,0,0.0,0.0
4618.26,4634.6,4611.73,4629.95,24034,11.628571428571636,80.2457002318981,4597.919,4511.1147,-1,0,0.0,0.0
4629.95,4630.32,4600.9,4608.75,25168,12.814285714285884,60.089926123099694,4597.9938,4511.884,-1,0,-0.0,0.0
4608.76,4620.64,4605.19,4619.1,18475,13.35357142857161,63.03787427243168,4598.0582,4512.6733,-1,0,0.0,0.0
4619.08,4620.72,4593.07,4598.56,18333,14.780000000000266,53.96825396184074,4598.2982,4513.3396,-1,0,-0.0,0.0
4598.56,4613.91,4596.71,4613.37,15632,15.550714285714482,60.50478542106315,4598.5206,4514.0648,-1,0,0.0,0.0
4613.37,4616.03,4606.41,4609.8,10272,15.766428571428735,59.544246100770074,4598.3238,4514.8034,-1,0,-0.0,0.0
4609.8,4612.02,4586.62,4590.38,16128,17.11142857142873,51.35533096366396,4597.705199999999,4515.43845,-1,0,-0.0,0.0
4590.38,4595.06,4581.11,4591.74,20350,17.609285714285956,51.636944365697936,4597.1394,4516.097599999999,-1,0,0.0,0.0
4591.74,4601.97,4589.84,4594.12,13602,17.980000000000214,51.85479596763384,4596.6826,4516.7456,-1,0,0.0,0.0
4594.12,4597.23,4584.16,4593.31,13659,18.107857142857352,54.42914754024496,4596.2212,4517.41705,-1,0,-0.0,0.0
4593.31,4598.99,4590.66,4597.52,11455,17.57071428571453,51.58812231701713,4595.844,4518.16765,-1,0,0.0,0.0
4597.52,4597.83,4587.7,4588.85,12795,17.165000000000223,45.76878105348752,4595.5082,4518.8612,-1,0,-0.0,0.0
4588.85,4589.26,4569.58,4586.06,18415,17.100714285714535,40.11044566725109,4595.0126,4519.5658,-1,0,-0.0,0.0
